cluster,keywords
0,"units, week, symbol, moving, etfs, 200, outstanding, holdings, underlying, destroyed"
1,"china, etf, energy, carbon, india, global, lithium, uranium, said, market"
2,"target, analyst, price, targets, symbol, upside, recent, average, share, analysts"
3,"etf, etfs, income, fund, investors, market, 500, index, active, stocks"
4,"shares, traded, sale, current, represents, target, forecast, ending, recommendation, fiscal"
5,"etf, zacks, free, exposure, broad, etfs, sector, index, holdings, risk"
6,"etf, shares, showing, volume, day, date, sector, components, trading, afternoon"
7,"units, biggest, etf, week, outstanding, 000, increase, percentage, outflow, prior"
8,"closed, stock, year, 500, index, today, fell, rose, fed, week"
9,"etf, rate, inflation, rates, year, fed, bond, treasury, market, research"
10,"gas, natural, forecast, fxempire, day, market, demand, ema, weather, lng"
11,"gold, silver, level, fxempire, usd, economic, market, forecast, support, platinum"
12,"etf, cap, market, etfs, fund, risk, beta, weighted, smart, free"
13,"ai, nvidia, intelligence, artificial, etf, technology, tech, robotics, stock, companies"
14,"etf, cap, value, zacks, growth, small, free, mid, holdings, etfs"
15,"earnings, stock, zacks, quarter, etf, year, company, stocks, billion, growth"
16,"iq, diluted, earlier, polled, reported, capital, financial, premarket, spdr, select"
17,"oil, gas, natural, energy, brent, wti, crude, barrel, states, united"
18,"care, health, cannabis, biotechnology, ibb, xlv, saying, drug, etf, therapeutics"
