cluster,keywords
0,"units, week, symbol, etfs, moving, 200, outstanding, holdings, underlying, shares"
1,"target, analyst, price, targets, symbol, upside, recent, average, share, analysts"
2,"closed, today, stock, year, bp, fell, index, 500, rose, fed"
3,"etf, cap, market, etfs, fund, risk, beta, weighted, smart, free"
4,"etf, cap, value, growth, small, zacks, free, mid, etfs, large"
5,"zacks, earnings, etf, quarter, year, stock, company, estimate, stocks, billion"
6,"etf, rate, inflation, fed, rates, year, zacks, research, market, index"
7,"said, reuters, ai, meta, bitcoin, google, etf, thomsonreuters, editing, company"
8,"etf, units, shares, volume, 000, biggest, week, outstanding, video, components"
9,"gas, natural, forecast, fxempire, day, market, demand, ema, weather, level"
10,"etf, zacks, etfs, exposure, free, index, sector, broad, fund, holdings"
11,"date, sector, symbol, showing, sectors, year, energy, etf, utilities, midday"
12,"ai, etf, stock, nvidia, stocks, tech, technology, year, market, intelligence"
13,"china, etf, india, investors, market, energy, emerging, global, carbon, markets"
14,"shares, reported, iq, traded, diluted, polled, earlier, pre, earnings, premarket"
15,"etf, income, bond, investors, dividend, bonds, fund, yield, 500, market"
16,"silver, level, market, fxempire, usd, forecast, economic, dollar, xag, 23"
17,"oil, gas, natural, energy, brent, wti, crude, barrel, states, united"
18,"gold, level, silver, platinum, fxempire, support, usd, economic, forecast, market"
19,"target, analyst, price, targets, symbol, upside, recent, average, share, analysts"
